Station_Name,SAINT JOHN
Station_Number,65
Latitude_Decimal_Degrees,45.251
Longitude_Decimal_Degrees,66.063
Datum,CD
Time_Zone,AST
SLEV=Observed Water Level
Obs_date,SLEV(metres)
1950/01/01,4.267,
1950/01/02,4.263,
1950/01/03,4.348,
1950/01/04,4.33,
1950/01/05,4.166,
1950/01/06,4.324,
1950/01/07,4.418,
1950/01/08,4.347,
1950/01/09,4.411,
1950/01/10,4.507,
1950/01/11,4.58,
1950/01/12,4.271,
1950/01/13,4.438,
1950/01/14,4.578,
1950/01/15,4.098,
1950/01/16,4.378,
1950/01/17,3.884,
1950/01/18,4.23,
1950/01/19,4.057,
1950/01/20,4.1,
1950/01/21,4.253,
1950/01/22,4.551,
1950/01/23,4.565,
1950/01/24,4.356,
1950/01/25,4.444,
1950/01/26,4.448,
1950/01/27,4.354,
1950/01/28,4.253,
1950/01/29,4.49,
1950/01/30,4.193,
1950/01/31,4.21,
1950/02/01,4.163,
1950/02/02,4.145,
1950/02/03,4.2,
1950/02/04,4.195,
1950/02/05,4.158,
1950/02/06,4.261,
1950/02/07,4.325,
1950/02/08,4.365,
1950/02/09,4.569,
1950/02/10,4.374,
1950/02/11,4.433,
1950/02/12,4.324,
1950/02/13,4.117,
1950/02/14,4.09,
1950/02/15,4.173,
1950/02/16,4.294,
1950/02/17,4.255,
1950/02/18,4.281,
1950/02/19,4.416,
1950/02/20,4.337,
1950/02/21,4.248,
1950/02/22,4.272,
1950/02/23,4.624,
1950/02/24,4.755,
1950/02/25,4.563,
1950/02/26,4.586,
1950/02/27,4.39,
1950/02/28,4.425,
1950/03/01,4.476,
1950/03/02,4.289,
1950/03/03,4.062,
1950/03/04,3.91,
1950/03/05,4.005,
1950/03/06,4.015,
1950/03/07,3.998,
1950/03/08,4.278,
1950/03/09,4.591,
1950/03/10,4.175,
1950/03/11,4.195,
1950/03/12,4.33,
1950/03/13,4.36,
1950/03/14,4.294,
1950/03/15,4.132,
1950/03/16,4.084,
