date,mean_temp,rolling_mean
1960-01-01,,
1960-02-01,,
1960-03-01,,
1960-04-01,,
1960-05-01,,
1960-06-01,,
1960-07-01,19.1,
1960-08-01,17.0,
1960-09-01,14.1,
1960-10-01,11.1,
1960-11-01,7.0,
1960-12-01,4.7,
1961-01-01,4.9,
1961-02-01,6.4,
1961-03-01,,
1961-04-01,,
1961-05-01,12.9,
1961-06-01,16.8,
1961-07-01,18.6,
1961-08-01,18.2,
1961-09-01,13.8,
1961-10-01,9.6,
1961-11-01,6.0,
1961-12-01,,
1962-01-01,,
1962-02-01,5.7,
1962-03-01,5.3,
1962-04-01,10.8,
1962-05-01,,
1962-06-01,,
1962-07-01,,
1962-08-01,,
1962-09-01,,
1962-10-01,,
1962-11-01,,
1962-12-01,,
1963-01-01,,
1963-02-01,,
1963-03-01,,
1963-04-01,,
1963-05-01,,
1963-06-01,,
1963-07-01,,
1963-08-01,,
1963-09-01,,
1963-10-01,,
1963-11-01,,
1963-12-01,,
1964-01-01,,
1964-02-01,,
1964-03-01,,
1964-04-01,,
1964-05-01,,
1964-06-01,,
1964-07-01,,
1964-08-01,,
1964-09-01,,
1964-10-01,,
1964-11-01,,
1964-12-01,,
1965-01-01,,
1965-02-01,,
1965-03-01,,
1965-04-01,9.2,
1965-05-01,11.7,
1965-06-01,15.5,
1965-07-01,18.2,
1965-08-01,17.1,
1965-09-01,13.0,
1965-10-01,11.1,
1965-11-01,7.4,
1965-12-01,4.7,
1966-01-01,4.0,
1966-02-01,4.9,
1966-03-01,6.7,10.291666666666666
1966-04-01,9.3,10.299999999999999
1966-05-01,,
1966-06-01,14.0,
1966-07-01,16.3,
1966-08-01,17.7,
1966-09-01,,
1966-10-01,10.0,
1966-11-01,7.4,
1966-12-01,,
1967-01-01,5.6,
1967-02-01,5.9,
1967-03-01,,
1967-04-01,,
1967-05-01,12.6,
1967-06-01,17.4,
1967-07-01,18.1,
1967-08-01,19.4,
1967-09-01,16.4,
1967-10-01,11.0,
1967-11-01,7.4,
1967-12-01,4.2,
1968-01-01,4.4,
1968-02-01,5.9,
1968-03-01,7.9,
1968-04-01,9.1,11.15
1968-05-01,13.7,11.241666666666667
1968-06-01,15.8,11.108333333333334
1968-07-01,17.6,11.066666666666668
1968-08-01,16.1,10.791666666666666
1968-09-01,14.3,10.616666666666667
1968-10-01,10.6,10.583333333333334
1968-11-01,,
1968-12-01,2.4,
1969-01-01,-2.5,
1969-02-01,4.1,
1969-03-01,5.9,
1969-04-01,,
1969-05-01,,
1969-06-01,17.1,
1969-07-01,18.1,
1969-08-01,,
1969-09-01,14.7,
1969-10-01,10.0,
1969-11-01,,
1969-12-01,,
1970-01-01,,
1970-02-01,6.6,
1970-03-01,7.2,
1970-04-01,8.8,
1970-05-01,,
1970-06-01,16.1,
1970-07-01,17.2,
1970-08-01,17.4,
1970-09-01,13.4,
1970-10-01,9.7,
1970-11-01,,
1970-12-01,3.6,
1971-01-01,3.0,
1971-02-01,4.5,
1971-03-01,,
1971-04-01,,
1971-05-01,,
1971-06-01,13.4,
1971-07-01,,
1971-08-01,,
1971-09-01,,
1971-10-01,,
1971-11-01,,
1971-12-01,,
1972-01-01,,
1972-02-01,4.1,
1972-03-01,6.0,
1972-04-01,,
1972-05-01,12.7,
1972-06-01,14.9,
1972-07-01,,
1972-08-01,,
1972-09-01,,
1972-10-01,,
1972-11-01,,
1972-12-01,,
1973-01-01,,
1973-02-01,5.8,
1973-03-01,,
1973-04-01,,
1973-05-01,12.6,
1973-06-01,,
1973-07-01,,
1973-08-01,,
1973-09-01,,
1973-10-01,,
1973-11-01,,
1973-12-01,,
1974-01-01,,
1974-02-01,5.5,
1974-03-01,,
1974-04-01,,
1974-05-01,,
1974-06-01,,
1974-07-01,,
1974-08-01,,
1974-09-01,,
1974-10-01,11.8,
1974-11-01,,
1974-12-01,,
1975-01-01,3.3,
1975-02-01,3.6,
1975-03-01,,
1975-04-01,7.8,
1975-05-01,11.7,
1975-06-01,,
1975-07-01,,
1975-08-01,,
1975-09-01,,
1975-10-01,,
1975-11-01,,
1975-12-01,,
1976-01-01,,
1976-02-01,4.9,
1976-03-01,5.1,
1976-04-01,9.2,
1976-05-01,12.0,
1976-06-01,14.2,
1976-07-01,17.1,
1976-08-01,16.4,
1976-09-01,15.7,
1976-10-01,11.1,
1976-11-01,7.3,
1976-12-01,6.4,
1977-01-01,3.4,10.233333333333333
1977-02-01,7.5,10.45
1977-03-01,6.4,10.558333333333334
1977-04-01,10.4,10.658333333333333
1977-05-01,11.7,10.633333333333333
1977-06-01,16.0,10.783333333333333
1977-07-01,17.0,10.775
1977-08-01,19.2,11.008333333333333
1977-09-01,13.5,10.825000000000001
1977-10-01,10.5,10.774999999999999
1977-11-01,5.8,10.65
1977-12-01,3.9,10.441666666666668
1978-01-01,4.7,10.549999999999999
1978-02-01,6.2,10.441666666666666
1978-03-01,8.0,10.575
1978-04-01,9.6,10.508333333333335
1978-05-01,12.2,10.549999999999999
1978-06-01,16.7,10.608333333333333
1978-07-01,18.4,10.725
1978-08-01,17.6,10.591666666666667
1978-09-01,14.1,10.641666666666666
